Row,Listing title,Property Manager/Host,Property name,Phone,Phone source,Phone confidence,Phone evidence,Phone belongs to,Contact,Website,Email,Social media link,Social media type
98,"Heated Pool, Hot Tub, Mini Golf, Arcade Resort!",Techvestor,,+13123376404,https://www.techvestor.com/,Medium,Host search found Techvestor's official site with a visible phone.,manager,Techvestor,https://www.techvestor.com/,support@techvestor.com,,
99,HÓZHÓ Luxe | Lazy River | Indoor Pickleball,482928211,,+14805040883,https://stayhozho.com/booking-information/,Medium,"Repeated numeric host group titles and property fingerprints matched HOZHO Scottsdale, and the official booking page lists this phone.",manager,HOZHO Scottsdale,https://stayhozho.com/,,,
100,SWSS Pool • Hot Tub • Fire Table • Sleeps 16,StayWithStyleScottsdale,,+14808186559,https://www.staywithstylescottsdale.com/contact-us/,Medium,Duplicate host group search found the official Stay With Style Scottsdale contact page with a visible phone; reused across same host rows.,manager,Stay With Style Scottsdale,https://www.staywithstylescottsdale.com/,office@staywithstylescottsdale.com,,
101,Book Castle On Black Mountain & Slide into Fun!,Porter VRM,,+18664682531,https://www.stayporter.com/,Medium,Duplicate host group search found Porter's direct booking site with a visible phone; reused across same host rows.,manager,Porter,https://www.stayporter.com/,,,
102,Paradise Canyon Retreat - 3 Private Estates,GoodNight Stay,,+14805626226,https://www.experiencescottsdale.com/listing/goodnight-stay/49464/; https://goodnightstay.com/,Medium,Duplicate host group search found public GoodNight Stay business and direct booking sources with a visible phone.,manager,GoodNight Stay,https://goodnightstay.com/,hello@goodnightstay.com,,
103,Pool | Spa | Pool Table | Lake View | Sleeps 24,StayEasyLLC,,+17147948094,https://www.stayeasyvacationsllc.com/,Medium,Host search found StayEasy Vacations LLC's official site with a visible phone.,manager,StayEasy Vacations LLC,https://www.stayeasyvacationsllc.com/,StayEasyLLC@gmail.com,,
104,"Resort Style, 2 Houses, Putt-Putt Course, B-ball",Cam Casey Real Estate,,,,,"No confirmed public phone found through title, host, listing ID, or property fingerprint search; phone left blank.",,,,,,
105,Two Homes-Pickleball-Batting Cage-Sand Volleyball,Cam Casey Real Estate,,,,,"No confirmed public phone found through title, host, listing ID, or property fingerprint search; phone left blank.",,,,,,
106,Stunning Views & Outdoor Living at The Boulders,Desert Vista Luxury Homes,,+14802005093,https://www.dvluxury.com/,Medium,Duplicate host group search found Desert Vista Luxury Homes' official site with a visible phone; reused across same host rows.,manager,Desert Vista Luxury Homes,https://www.dvluxury.com/,info@dvluxury.com,,
107,Scottsdale 9BR HoZho Haven,217908712,,+14805040883,https://stayhozho.com/booking-information/,Medium,"Repeated numeric host group titles and property fingerprints matched HOZHO Scottsdale, and the official booking page lists this phone.",manager,HOZHO Scottsdale,https://stayhozho.com/,,,
108,"Sunkist Sanctuary | Pool, Golf Simulator & Hot Tub",482928211,,+14805040883,https://stayhozho.com/booking-information/,Medium,"Repeated numeric host group titles and property fingerprints matched HOZHO Scottsdale, and the official booking page lists this phone.",manager,HOZHO Scottsdale,https://stayhozho.com/,,,
109,*NEW* Luxe Ranch Double Villas | Near GC S Rim,Vivant,,,,,"No confirmed public phone found through title, host, listing ID, or property fingerprint search; phone left blank.",,,,,,
110,"Mescal Villa & Casitas | Pool, Pickleball & Spa",Travli Hospitality,,+14803315369,https://www.travlihospitality.com/,Medium,Duplicate host group search found Travli Hospitality's official site with a visible phone; reused across same host rows.,manager,Travli Hospitality,https://www.travlihospitality.com/,reservations@travlihospitality.com,,
111,Large Group Getaway | Peaceful Views,Getaway Properties AZ,,+19284382929,https://thegetawayaz.com/contact-us,Medium,Host search found Getaway Properties AZ's official contact page with a visible phone.,manager,Getaway Properties AZ,https://thegetawayaz.com/,info@thegetawayaz.com,,
112,"The Full Estate: Villa, Casita, Theater, & Arcade",Mojo Hospitality,,+14808055854,https://www.staywithmojo.com/,Medium,Duplicate host group search found Mojo Hospitality's official site with a visible phone; reused across same host rows.,manager,Mojo Hospitality,https://www.staywithmojo.com/,info@staywithmojo.com,,
113,"5BR Luxe Retreat | Heated Pool, Hot Tub & Casita",Revana Realty,,+18884751465,https://revanarealty.com/property-management/,Medium,Duplicate host group search found Revana Realty's property management page with a visible phone; reused across same host rows.,manager,Revana Realty,https://revanarealty.com/,Contact@RevanaRealty.com,,
114,3Million$Resort BellTower+Waterslde+Picklebll+Golf,List My Rental Home,,+12174932929,https://www.listmyrentalhome.com/contact,Medium,Duplicate host group search found the official List My Rental Home contact page with a visible phone; reused across same host rows.,manager,List My Rental Home,https://www.listmyrentalhome.com/,gm@listmyrentalhome.com,,
115,"Sunset Palms-Pool, Spa & Sports Court-Scottsdale",GoodNight Stay,,+14805626226,https://www.experiencescottsdale.com/listing/goodnight-stay/49464/; https://goodnightstay.com/,Medium,Duplicate host group search found public GoodNight Stay business and direct booking sources with a visible phone.,manager,GoodNight Stay,https://goodnightstay.com/,hello@goodnightstay.com,,
116,"9BR Estate | Mountain Views, Pool, Spa & Theater",AZHolidayRental,,+18005303660,https://www.holidayrental.com/contact/,Medium,"Duplicate host group search tied AZHolidayRental listings to HolidayRental.com, whose official contact page lists this phone.",manager,HolidayRental.com,https://www.holidayrental.com/,,,
117,Scottsdalestays-28 Real Beds-2 Homes Across Street,238954779,,+14803184923,https://scottsdalestays.com/contact-us/,High,"Repeated numeric host group titles explicitly reference ScottsdaleStays, and the official contact page lists this phone.",manager,ScottsdaleStays,https://scottsdalestays.com/,,,
118,Luxury Mansion-Heated Pool-Pickleball-Batting Cage,Cam Casey Real Estate,,,,,"No confirmed public phone found through title, host, listing ID, or property fingerprint search; phone left blank.",,,,,,
119,Luxurious Family Reunion Cabin Sleeps 18 Flagstaff,Evolve,,+18778181014,https://www.allbiz.com/business/evolve-vacation-rental_35-877-818-1014; https://www.evolve.com/,Low,Host search found an Evolve business profile phone and the official Evolve site confirmed the matching manager brand.,manager,Evolve,https://www.evolve.com/,,,
120,The Desert Reserve: FREE Heated Pool | Pickleball,Home Team Vacation Rentals,,+17279773238,https://hometeamluxuryrentals.com/meet-our-team,Medium,Duplicate host group search found Home Team Vacation Rentals' public team page with a visible phone; reused across same host rows.,manager,Home Team Vacation Rentals,https://hometeamluxuryrentals.com/,,,
121,$5M PV Estate|Casita|Camelback View|Sleeps 16,Travli Hospitality,,+14803315369,https://www.travlihospitality.com/,Medium,Duplicate host group search found Travli Hospitality's official site with a visible phone; reused across same host rows.,manager,Travli Hospitality,https://www.travlihospitality.com/,reservations@travlihospitality.com,,
122,Luxe PV Retreat - Pickleball - Heated Pool - Sauna,Home Team Vacation Rentals,,+17279773238,https://hometeamluxuryrentals.com/meet-our-team,Medium,Duplicate host group search found Home Team Vacation Rentals' public team page with a visible phone; reused across same host rows.,manager,Home Team Vacation Rentals,https://hometeamluxuryrentals.com/,,,
123,HÓZHÓ 19th Hole | Pool | Golf Sim | Pickleball,482928211,,+14805040883,https://stayhozho.com/booking-information/,Medium,"Repeated numeric host group titles and property fingerprints matched HOZHO Scottsdale, and the official booking page lists this phone.",manager,HOZHO Scottsdale,https://stayhozho.com/,,,
124,"NEW! The Windrose w/ Pickleball, Pool & Spa",Mojo Hospitality,,+14808055854,https://www.staywithmojo.com/,Medium,Duplicate host group search found Mojo Hospitality's official site with a visible phone; reused across same host rows.,manager,Mojo Hospitality,https://www.staywithmojo.com/,info@staywithmojo.com,,
125,Julep by AvantStay | Mid-Century Modern Estate,Scottsdale AZ By AvantStay,,+18334428268,https://help.avantstay.com/hc/en-us/articles/21607615770516-Who-do-I-contact-if-I-need-assistance-during-my-stay; https://avantstay.com/,Medium,"Host search tied the listing to AvantStay, and AvantStay's official help center lists this guest assistance phone.",manager,AvantStay,https://avantstay.com/,,,
126,HÓZHÓ Estate on Desert Hills | Pool  $80k Golf Sim,482928211,,+14805040883,https://stayhozho.com/booking-information/,Medium,"Repeated numeric host group titles and property fingerprints matched HOZHO Scottsdale, and the official booking page lists this phone.",manager,HOZHO Scottsdale,https://stayhozho.com/,,,
127,"Grand Legacy Lodge, White Mountains AZ, Sleeps 34",Longitude Experience,,,,,"No confirmed public phone found through title, host, listing ID, or property fingerprint search; phone left blank.",,,,,,
128,"Legacy Lodge & Barn Retreat, Sleeps 42",Longitude Experience,,,,,"No confirmed public phone found through title, host, listing ID, or property fingerprint search; phone left blank.",,,,,,
129,Brick & Beam A Conservatory by Gathering Tree,6571387,,+19282754032,https://www.gatheringtree.com/availability,Medium,"Repeated numeric host group titles matched Gathering Tree properties, and the official Gathering Tree availability page lists this phone.",manager,Gathering Tree,https://www.gatheringtree.com/,nicole@gatheringtree.com,,
130,Casa Palacio Luxurious 8BR Mansion in Scottsdale,Parsons Villas,,+14807810717,https://parsonsvillas.com/contact-us/,Medium,Duplicate host group search found Parsons Villas' official contact page with a visible phone; reused across same host rows.,manager,Parsons Villas,https://parsonsvillas.com/,,,
131,"Valley Vista - 11BR, 12K Sf Estate Family Retreat",548435836,Valley Vista Estate,+14807810717,https://parsonsvillas.com/scottsdale/valley-vista-estate/; https://parsonsvillas.com/contact-us/,Medium,"Exact title search found Parsons Villas' Valley Vista Estate page, and Parsons Villas' contact page lists this phone.",manager,Parsons Villas,https://parsonsvillas.com/scottsdale/valley-vista-estate/,,,
132,Sundown - 2 Homes w/ Private Pools - In Scottsdale,GoodNight Stay,,+14805626226,https://www.experiencescottsdale.com/listing/goodnight-stay/49464/; https://goodnightstay.com/,Medium,Duplicate host group search found public GoodNight Stay business and direct booking sources with a visible phone.,manager,GoodNight Stay,https://goodnightstay.com/,hello@goodnightstay.com,,
133,"Luxe Private Resort Compound, Heated Pool and Spa",Heirloom,,+15045070523,https://stayheirloom.com/terms-of-service/,Medium,Duplicate host group search found Stay Heirloom's official terms page with a visible phone; reused across same host rows.,manager,Stay Heirloom,https://stayheirloom.com/,,,
134,LUXE - Arbor Grove Luxury Estate in Scottsdale,105724935,Arbor Grove Luxury Estate,+18883059566,https://www.ourstay.com/; https://www.airbnb.com/users/show/105724935,Medium,"Host ID search matched OurStay Vacations and Arbor Grove, and OurStay's public site lists this phone.",manager,OurStay Vacations,https://www.ourstay.com/,hello@ourstay.com,,
135,"Scottsdale Luxury Mega Compound, Heated Pools",Heirloom,,+15045070523,https://stayheirloom.com/terms-of-service/,Medium,Duplicate host group search found Stay Heirloom's official terms page with a visible phone; reused across same host rows.,manager,Stay Heirloom,https://stayheirloom.com/,,,
136,HÓZHÓ Collective at Lone Mountain,217908712,,+14805040883,https://stayhozho.com/booking-information/,Medium,"Repeated numeric host group titles and property fingerprints matched HOZHO Scottsdale, and the official booking page lists this phone.",manager,HOZHO Scottsdale,https://stayhozho.com/,,,
137,Gathering Tree's Group stay,6571387,,+19282754032,https://www.gatheringtree.com/availability,Medium,"Repeated numeric host group titles matched Gathering Tree properties, and the official Gathering Tree availability page lists this phone.",manager,Gathering Tree,https://www.gatheringtree.com/,nicole@gatheringtree.com,,
138,Scottsdale Jetsetter - Modern Desert Luxury,VacayAZ,,+14805901655,https://www.vacayaz.com/contact/,Medium,Duplicate host group search found the official VacayAZ contact page with a visible phone; reused across same host rows.,manager,VacayAZ,https://www.vacayaz.com/,bookings@vacayaz.com,,
139,Brick & Beam Ultimate  by Gathering Tree,6571387,,+19282754032,https://www.gatheringtree.com/availability,Medium,"Repeated numeric host group titles matched Gathering Tree properties, and the official Gathering Tree availability page lists this phone.",manager,Gathering Tree,https://www.gatheringtree.com/,nicole@gatheringtree.com,,
140,"Luxe Desert Compound, Private Heated Pool",Heirloom,,+15045070523,https://stayheirloom.com/terms-of-service/,Medium,Duplicate host group search found Stay Heirloom's official terms page with a visible phone; reused across same host rows.,manager,Stay Heirloom,https://stayheirloom.com/,,,
141,Serenissima – La Dolce Vita above Paradise Valley,VacayAZ,,+14805901655,https://www.vacayaz.com/contact/,Medium,Duplicate host group search found the official VacayAZ contact page with a visible phone; reused across same host rows.,manager,VacayAZ,https://www.vacayaz.com/,bookings@vacayaz.com,,
142,SWSS Pool • Golf Simulator • Sport Court • Sauna,StayWithStyleScottsdale,,+14808186559,https://www.staywithstylescottsdale.com/contact-us/,Medium,Duplicate host group search found the official Stay With Style Scottsdale contact page with a visible phone; reused across same host rows.,manager,Stay With Style Scottsdale,https://www.staywithstylescottsdale.com/,office@staywithstylescottsdale.com,,
143,"Lux Fountain Hills, VIEWS, Inf Pool, Hot Tub, Golf",Arizona Vacation Home Rentals,,+14804707739,https://azvacationhomerentals.com/,Medium,Duplicate host group search found Arizona Vacation Home Rentals' public site with a visible phone; reused across same host rows.,manager,Arizona Vacation Home Rentals,https://azvacationhomerentals.com/,,,
144,SWSS Luxe Pool Retreat • Sport Court • Pickleball,StayWithStyleScottsdale,,+14808186559,https://www.staywithstylescottsdale.com/contact-us/,Medium,Duplicate host group search found the official Stay With Style Scottsdale contact page with a visible phone; reused across same host rows.,manager,Stay With Style Scottsdale,https://www.staywithstylescottsdale.com/,office@staywithstylescottsdale.com,,
145,Lux Home Heated Pool|Golf Sim|Pickleball|Spa|Sauna,Vello,,+15042336924,https://www.stayvello.com/locations/; https://www.airbnb.com/users/show/1104148568,Medium,Host search matched Vello's official site and Airbnb host profile; the public Vello site lists this phone.,manager,Vello,https://www.stayvello.com/,hello@stayvello.com,,
146,Paradise Canyon-Private Event Venue-Estate 1&3,GoodNight Stay,,+14805626226,https://www.experiencescottsdale.com/listing/goodnight-stay/49464/; https://goodnightstay.com/,Medium,Duplicate host group search found public GoodNight Stay business and direct booking sources with a visible phone.,manager,GoodNight Stay,https://goodnightstay.com/,hello@goodnightstay.com,,
147,Paradise Canyon-Pool w/ Mountain Views-Estate 1&2,GoodNight Stay,,+14805626226,https://www.experiencescottsdale.com/listing/goodnight-stay/49464/; https://goodnightstay.com/,Medium,Duplicate host group search found public GoodNight Stay business and direct booking sources with a visible phone.,manager,GoodNight Stay,https://goodnightstay.com/,hello@goodnightstay.com,,
148,Paradise Canyon-3 Estates+Casita w/Horse Stables,GoodNight Stay,,+14805626226,https://www.experiencescottsdale.com/listing/goodnight-stay/49464/; https://goodnightstay.com/,Medium,Duplicate host group search found public GoodNight Stay business and direct booking sources with a visible phone.,manager,GoodNight Stay,https://goodnightstay.com/,hello@goodnightstay.com,,
149,"Small Venue, 4 Homes, Pool & Spa, Sleeps 36, Views",Arizona Vacation Home Rentals,,+14804707739,https://azvacationhomerentals.com/,Medium,Duplicate host group search found Arizona Vacation Home Rentals' public site with a visible phone; reused across same host rows.,manager,Arizona Vacation Home Rentals,https://azvacationhomerentals.com/,,,
150,Resort w/Golf Sim/Pickleball/Speakeasy/Heated Pool,464913733,,,,,"No confirmed public phone found through title, host, listing ID, or property fingerprint search; phone left blank.",,,,,,
151,HÓZHÓ Cattle Track | Pool | Pickleball | Golf Sim,482928211,,+14805040883,https://stayhozho.com/booking-information/,Medium,"Repeated numeric host group titles and property fingerprints matched HOZHO Scottsdale, and the official booking page lists this phone.",manager,HOZHO Scottsdale,https://stayhozho.com/,,,
152,Paradise Canyon-Pool w/ Mountain Views-Estate 1&2,GoodNight Stay,,+14805626226,https://www.experiencescottsdale.com/listing/goodnight-stay/49464/; https://goodnightstay.com/,Medium,Duplicate host group search found public GoodNight Stay business and direct booking sources with a visible phone.,manager,GoodNight Stay,https://goodnightstay.com/,hello@goodnightstay.com,,
